Please enter the number of space grid points desired: 100
***********************
Explicit Solutions
***********************
t= 10	 x= 3.53535	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.97576e-59	 solution2= 	-1.62347e-58	 error2= -1.82104e-58
t= 10	 x= 4.54545	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.02741e-51	 solution2= 	-2.48482e-50	 error2= -2.78756e-50
t= 10	 x= 5.55556	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.12752e-43	 solution2= 	-9.24118e-43	 error2= -1.03687e-42
t= 10	 x= 6.56566	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.02069e-36	 solution2= 	-8.35029e-36	 error2= -9.37098e-36
t= 10	 x= 7.57576	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.24584e-30	 solution2= 	-1.83302e-29	 error2= -2.05761e-29
t= 10	 x= 8.58586	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.2011e-24	 solution2= 	-9.77383e-24	 error2= -1.09749e-23
t= 10	 x= 9.59596	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.56133e-19	 solution2= 	-1.26564e-18	 error2= -1.42177e-18
t= 10	 x= 10.6061	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.93319e-15	 solution2= 	-3.97922e-14	 error2= -4.47254e-14
t= 10	 x= 11.6162	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.78857e-11	 solution2= 	-3.03667e-10	 error2= -3.41553e-10
t= 10	 x= 12.6263	 A1= 0	 solution1= 0	 error1= 0		 A2= 7.07195e-08	 solution2= 	-5.62278e-07	 error2= -6.32998e-07
t= 10	 x= 13.6364	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.20862e-05	 solution2= 	-0.000252531	 error2= -0.000284617
t= 10	 x= 14.6465	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.00353846	 solution2= 	-0.0275143	 error2= -0.0310527
t= 10	 x= 15.6566	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.0948473	 solution2= 	-0.729248	 error2= -0.824096
t= 10	 x= 16.6667	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.617947	 solution2= 	-4.76815	 error2= -5.3861
t= 10	 x= 17.6768	 A1= 1	 solution1= 1.75	 error1= 0.75		 A2= 0.978574	 solution2= 	-8.14383	 error2= -9.12241
t= 10	 x= 18.6869	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0.376662	 solution2= 	-4.31105	 error2= -4.68771
t= 10	 x= 19.697	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0.0352392	 solution2= 	-0.884503	 error2= -0.919743
t= 10	 x= 20.7071	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0.000801337	 solution2= 	-0.0659549	 error2= -0.0667562
t= 10	 x= 21.7172	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.42915e-06	 solution2= 	-0.0014128	 error2= -0.00141722
t= 10	 x= 22.7273	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 5.95034e-09	 solution2= 	-7.7019e-06	 error2= -7.70785e-06
t= 10	 x= 23.7374	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.94303e-12	 solution2= 	-1.03164e-08	 error2= -1.03183e-08
t= 10	 x= 24.7475	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.54217e-16	 solution2= 	-3.36669e-12	 error2= -3.36684e-12
t= 10	 x= 25.7576	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.97509e-21	 solution2= 	-2.67183e-16	 error2= -2.67186e-16
t= 10	 x= 26.7677	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.39503e-26	 solution2= 	-5.15433e-21	 error2= -5.15434e-21
t= 10	 x= 27.7778	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.58995e-32	 solution2= 	-2.41689e-26	 error2= -2.41689e-26
t= 10	 x= 28.7879	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.40453e-39	 solution2= 	-2.75459e-32	 error2= -2.75459e-32
t= 10	 x= 29.798	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.96573e-46	 solution2= 	-7.63085e-39	 error2= -7.63085e-39
t= 10	 x= 30.8081	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.85376e-54	 solution2= 	-5.13812e-46	 error2= -5.13812e-46
t= 10	 x= 31.8182	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.93082e-62	 solution2= 	-8.40914e-54	 error2= -8.40914e-54
t= 10	 x= 32.8283	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.86689e-71	 solution2= 	-3.34514e-62	 error2= -3.34514e-62
t= 10	 x= 33.8384	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.38747e-81	 solution2= 	-3.23439e-71	 error2= -3.23439e-71
t= 10	 x= 34.8485	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.50625e-91	 solution2= 	-7.60129e-81	 error2= -7.60129e-81
t= 10	 x= 35.8586	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.47977e-102	 solution2= 	-4.34208e-91	 error2= -4.34208e-91
t= 10	 x= 36.8687	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.17433e-113	 solution2= 	-6.0287e-102	 error2= -6.0287e-102
t= 10	 x= 37.8788	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.63273e-126	 solution2= 	-2.03453e-113	 error2= -2.03453e-113
t= 10	 x= 38.8889	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.92054e-138	 solution2= 	-1.66887e-125	 error2= -1.66887e-125
t= 10	 x= 39.899	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.30704e-152	 solution2= 	-3.32733e-138	 error2= -3.32733e-138
t= 10	 x= 40.9091	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.09627e-165	 solution2= 	-1.61244e-151	 error2= -1.61244e-151
